               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034496,            0.041701,           0.0035269,             0.88654,             0.66274,             0.77374,             0.46707,            0.038723,            0.046747,           0.0059137,             0.00604,             0.00604,             0.00604
                  38,            0.034469,            0.043626,           0.0036661,             0.83609,             0.71505,             0.79838,             0.45844,            0.039588,            0.045496,            0.005748,             0.00593,             0.00593,             0.00593
                  39,            0.034022,             0.04383,           0.0034131,             0.79332,             0.73311,             0.77631,             0.45053,            0.039793,            0.045223,           0.0062947,             0.00582,             0.00582,             0.00582
                  40,            0.034624,            0.044336,           0.0032231,             0.82081,             0.76026,             0.78756,             0.46869,            0.037819,            0.046003,           0.0059871,             0.00571,             0.00571,             0.00571
                  41,            0.033985,             0.04341,           0.0033992,             0.82968,             0.76329,              0.7904,             0.46428,            0.039979,            0.045446,            0.005887,              0.0056,              0.0056,              0.0056
                  42,            0.033202,            0.040933,           0.0035481,             0.82659,             0.73881,             0.78802,             0.46208,            0.038253,            0.047827,           0.0059219,             0.00549,             0.00549,             0.00549
                  43,            0.033315,            0.042481,           0.0033607,             0.79926,             0.74242,             0.79385,             0.46712,            0.039358,             0.04668,           0.0064072,             0.00538,             0.00538,             0.00538
                  44,            0.032506,            0.040353,           0.0031396,             0.83617,              0.7165,             0.78191,             0.45331,            0.038968,            0.046766,           0.0064422,             0.00527,             0.00527,             0.00527
                  45,            0.033236,            0.041503,           0.0028684,             0.82847,             0.71205,             0.77056,             0.45168,            0.039509,            0.046307,           0.0071385,             0.00516,             0.00516,             0.00516
                  46,            0.032762,            0.040761,           0.0028664,             0.81094,             0.73687,             0.78552,             0.46022,             0.03798,            0.046663,           0.0064956,             0.00505,             0.00505,             0.00505
                  47,            0.032291,            0.040212,           0.0030594,             0.84928,             0.75292,             0.78872,             0.46934,            0.038222,            0.046383,           0.0057198,             0.00494,             0.00494,             0.00494
                  48,            0.032403,            0.044299,           0.0026786,             0.83545,             0.76785,             0.79434,             0.47987,             0.03767,             0.04669,           0.0057311,             0.00483,             0.00483,             0.00483
                  49,            0.031555,            0.041063,           0.0028851,             0.85347,             0.71643,             0.78952,             0.46776,            0.038941,            0.047071,            0.005506,             0.00472,             0.00472,             0.00472
                  50,             0.03131,            0.039965,           0.0028761,             0.85027,             0.72583,             0.78137,             0.47853,            0.037521,            0.047066,           0.0055953,             0.00461,             0.00461,             0.00461
                  51,             0.03037,            0.040111,           0.0026274,             0.86309,             0.71301,             0.78459,             0.46576,            0.039204,            0.046188,           0.0058204,              0.0045,              0.0045,              0.0045
                  52,            0.030492,            0.041166,           0.0025702,             0.84632,             0.71687,             0.77546,             0.46835,            0.037788,            0.047434,           0.0065799,             0.00439,             0.00439,             0.00439
                  53,            0.030449,            0.039082,           0.0024076,             0.80196,             0.75468,             0.79017,             0.47723,            0.037778,            0.046726,           0.0062889,             0.00428,             0.00428,             0.00428
                  54,             0.02995,            0.038535,           0.0024344,             0.72784,             0.75988,             0.75273,             0.45248,            0.037478,            0.048788,           0.0065152,             0.00417,             0.00417,             0.00417
                  55,            0.029779,            0.039638,           0.0022174,             0.84993,             0.69956,             0.75919,             0.45491,            0.038012,            0.049002,           0.0062148,             0.00406,             0.00406,             0.00406
                  56,            0.029266,            0.036256,           0.0023492,              0.8431,             0.72011,             0.77258,             0.47293,            0.037038,            0.048477,           0.0062428,             0.00395,             0.00395,             0.00395
                  57,            0.029925,            0.040212,           0.0022698,             0.83792,             0.75494,             0.80169,             0.49497,            0.036695,            0.046865,           0.0059077,             0.00384,             0.00384,             0.00384
                  58,            0.029009,            0.038281,           0.0021571,             0.83537,             0.73965,              0.7849,             0.46913,            0.036371,            0.047575,           0.0063524,             0.00373,             0.00373,             0.00373
                  59,            0.028335,            0.037098,           0.0021748,             0.85006,             0.74031,             0.79319,             0.48755,            0.037142,            0.046759,           0.0058965,             0.00362,             0.00362,             0.00362
                  60,            0.028176,            0.038265,           0.0019679,             0.84372,             0.75554,             0.79735,             0.48344,            0.036909,            0.046957,           0.0058346,             0.00351,             0.00351,             0.00351
                  61,            0.028574,            0.039519,           0.0020296,             0.81685,             0.76375,             0.79388,             0.48902,            0.036868,            0.047646,           0.0058044,              0.0034,              0.0034,              0.0034
                  62,             0.02843,            0.038849,           0.0020086,              0.8221,             0.77055,             0.79454,             0.47535,            0.037222,            0.048296,           0.0057057,             0.00329,             0.00329,             0.00329
                  63,            0.028342,            0.039075,            0.001983,             0.82343,             0.75726,             0.78912,             0.47993,            0.036679,            0.048473,           0.0054152,             0.00318,             0.00318,             0.00318
                  64,             0.02834,             0.03778,           0.0018092,             0.81704,             0.74942,             0.78915,             0.48277,            0.036808,            0.048613,           0.0055248,             0.00307,             0.00307,             0.00307
                  65,              0.0272,            0.036515,           0.0017193,             0.83642,             0.74016,             0.78345,             0.47765,             0.03719,            0.049431,           0.0055602,             0.00296,             0.00296,             0.00296
                  66,            0.026541,            0.036684,           0.0018966,             0.79862,              0.7642,             0.79937,             0.48735,            0.036393,            0.047604,           0.0054286,             0.00285,             0.00285,             0.00285
